drug	n_gwas_target_genes	approved	genes
TOSEDOSTAT	1	False	METAP1D
BITHIONOLOXIDE	1	False	RAPGEF4
2,2',4,4',5,5'-HEXACHLOROBIPHENYL	1	False	RAPGEF4
BENZBROMARONE	1	True	RAPGEF4
CLOTRIMAZOLE	1	True	RAPGEF4
CHEMBL:CHEMBL149246	1	False	RAPGEF4
NABUMETONE	1	True	RAPGEF4
DIMPYLATE	1	False	RAPGEF4
AMORFRUTIN A	1	False	RAPGEF4
CHEMBL:CHEMBL600778	1	False	RAPGEF4
CHEMBL:CHEMBL140130	1	False	RAPGEF4
SCLEROTIORIN	1	False	RAPGEF4
2,4-DIHYDROXYBENZOPHENONE	1	False	RAPGEF4
BERBERRUBINE	1	False	RAPGEF4
KOLAVENIC ACID	1	False	RAPGEF4
ACITRETIN	1	True	RAPGEF4
SB 216763	1	False	RAPGEF4
CHEMBL:CHEMBL1256719	1	False	RAPGEF4
CHEMBL:CHEMBL608846	1	False	RAPGEF4
1,4-DIMETHOXYANTHRAQUINONE	1	False	RAPGEF4
CHEMBL:CHEMBL591363	1	False	RAPGEF4
FLUORESCEIN DIACETATE	1	False	RAPGEF4
LOBARIC ACID	1	False	RAPGEF4
PHYSODIC ACID	1	False	RAPGEF4
CHEMBL:CHEMBL591361	1	False	RAPGEF4
TANGERETIN	1	False	RAPGEF4
PENTACHLOROPHENOL	1	False	RAPGEF4
CHEMBL:CHEMBL1256796	1	False	RAPGEF4
FENTICLOR	1	False	RAPGEF4
BW B70C	1	False	CREB1
CJ13610	1	False	CREB1
5-LOX INHIBITOR 2M [PMID: 30199704]	1	False	CREB1
PF-04191834	1	False	CREB1
HONOKIOL	1	False	CREB1
5-LOX ACTIVATING PROTEIN	1	False	CREB1
ZILEUTON	1	True	CREB1
POZIOTINIB	1	False	ERBB4
PAN-HER KINASE INHIBITOR AC480	1	False	ERBB4
BMS-599626	1	False	ERBB4
BETACELLULIN	1	False	ERBB4
PIROTINIB	1	False	ERBB4
BIX02188	1	False	ERBB4
AFATINIB DIMALEATE	1	True	ERBB4
NEUREGULIN-3	1	False	ERBB4
HB-EGF	1	False	ERBB4
TUCATINIB	1	True	ERBB4
ALLITINIB	1	False	ERBB4
METHYLCURCUMIN	1	False	ERBB4
