molecule_chembl_id,molecule_name,target_chembl_id,target_name,standard_value,standard_units,standard_type
CHEMBL15391,,CHEMBL354,Escherichia coli,0.013,ug.mL-1,MIC
CHEMBL279381,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL261939,,CHEMBL354,Escherichia coli,0.8,ug.mL-1,MIC
CHEMBL14960,,CHEMBL354,Escherichia coli,0.4,ug.mL-1,MIC
CHEMBL276812,,CHEMBL354,Escherichia coli,0.05,ug.mL-1,MIC
CHEMBL6276,,CHEMBL354,Escherichia coli,1.6,ug.mL-1,MIC
CHEMBL6276,,CHEMBL354,Escherichia coli,0.8,ug.mL-1,MIC
CHEMBL6210,PD-117558,CHEMBL354,Escherichia coli,0.013,ug.mL-1,MIC
CHEMBL6210,PD-117558,CHEMBL354,Escherichia coli,0.05,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL303053,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL82660,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL343603,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL343603,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL15171,,CHEMBL354,Escherichia coli,0.8,ug.mL-1,MIC
