species,model,gene1,gene2,inhibition_A,inhibition_B,growth_ratio,fitness
E. coli,iML1515,murA,lpxB,0.325,0.55,1.0,-0.0
E. coli,iML1515,murA,lpxB,0.325,0.775,1.0,-0.0
E. coli,iML1515,murA,lpxB,0.325,1.0,0.0,1.0
E. coli,iML1515,murA,lpxB,0.55,0.1,1.0,-0.0
E. coli,iML1515,murA,lpxB,0.55,0.325,1.0,-0.0
E. coli,iML1515,murA,lpxB,0.55,0.55,1.0,-0.0
E. coli,iML1515,murA,lpxB,0.55,0.775,1.0,-0.0
E. coli,iML1515,murA,lpxB,0.55,1.0,0.0,1.0
E. coli,iML1515,murA,lpxB,0.775,0.1,1.0,-0.0
E. coli,iML1515,murA,lpxB,0.775,0.325,1.0,-0.0
E. coli,iML1515,murA,lpxB,0.775,0.55,1.0,-0.0
E. coli,iML1515,murA,lpxB,0.775,0.775,1.0,-0.0
E. coli,iML1515,murA,lpxB,0.775,1.0,0.0,1.0
E. coli,iML1515,murA,lpxB,1.0,0.1,0.0,1.0
E. coli,iML1515,murA,lpxB,1.0,0.325,0.0,1.0
E. coli,iML1515,murA,lpxB,1.0,0.55,0.0,1.0
E. coli,iML1515,murA,lpxB,1.0,0.775,0.0,1.0
E. coli,iML1515,murA,lpxB,1.0,1.0,0.0,1.0
E. coli,iML1515,murA,lpxC,0.1,0.1,1.0,-0.0
E. coli,iML1515,murA,lpxC,0.1,0.325,1.0,-0.0
E. coli,iML1515,murA,lpxC,0.1,0.55,1.0,-0.0
E. coli,iML1515,murA,lpxC,0.1,0.775,1.0,-0.0
E. coli,iML1515,murA,lpxC,0.1,1.0,-0.0,1.0
E. coli,iML1515,murA,lpxC,0.325,0.1,1.0,-0.0
E. coli,iML1515,murA,lpxC,0.325,0.325,1.0,-0.0
E. coli,iML1515,murA,lpxC,0.325,0.55,1.0,-0.0
E. coli,iML1515,murA,lpxC,0.325,0.775,1.0,-0.0
E. coli,iML1515,murA,lpxC,0.325,1.0,0.0,1.0
E. coli,iML1515,murA,lpxC,0.55,0.1,1.0,-0.0
E. coli,iML1515,murA,lpxC,0.55,0.325,1.0,-0.0
E. coli,iML1515,murA,lpxC,0.55,0.55,1.0,-0.0
E. coli,iML1515,murA,lpxC,0.55,0.775,1.0,-0.0
E. coli,iML1515,murA,lpxC,0.55,1.0,-0.0,1.0
E. coli,iML1515,murA,lpxC,0.775,0.1,1.0,0.0
E. coli,iML1515,murA,lpxC,0.775,0.325,1.0,-0.0
E. coli,iML1515,murA,lpxC,0.775,0.55,1.0,-0.0
E. coli,iML1515,murA,lpxC,0.775,0.775,1.0,-0.0
E. coli,iML1515,murA,lpxC,0.775,1.0,-0.0,1.0
E. coli,iML1515,murA,lpxC,1.0,0.1,-0.0,1.0
E. coli,iML1515,murA,lpxC,1.0,0.325,0.0,1.0
E. coli,iML1515,murA,lpxC,1.0,0.55,0.0,1.0
E. coli,iML1515,murA,lpxC,1.0,0.775,0.0,1.0
E. coli,iML1515,murA,lpxC,1.0,1.0,0.0,1.0
E. coli,iML1515,murA,lpxD,0.1,0.1,1.0,0.0
E. coli,iML1515,murA,lpxD,0.1,0.325,1.0,-0.0
E. coli,iML1515,murA,lpxD,0.1,0.55,1.0,-0.0
E. coli,iML1515,murA,lpxD,0.1,0.775,1.0,-0.0
E. coli,iML1515,murA,lpxD,0.1,1.0,0.0,1.0
E. coli,iML1515,murA,lpxD,0.325,0.1,1.0,-0.0
E. coli,iML1515,murA,lpxD,0.325,0.325,1.0,-0.0
E. coli,iML1515,murA,lpxD,0.325,0.55,1.0,-0.0
E. coli,iML1515,murA,lpxD,0.325,0.775,1.0,-0.0
E. coli,iML1515,murA,lpxD,0.325,1.0,-0.0,1.0
E. coli,iML1515,murA,lpxD,0.55,0.1,1.0,0.0
E. coli,iML1515,murA,lpxD,0.55,0.325,1.0,-0.0
E. coli,iML1515,murA,lpxD,0.55,0.55,1.0,-0.0
E. coli,iML1515,murA,lpxD,0.55,0.775,1.0,-0.0
E. coli,iML1515,murA,lpxD,0.55,1.0,0.0,1.0
E. coli,iML1515,murA,lpxD,0.775,0.1,1.0,-0.0
E. coli,iML1515,murA,lpxD,0.775,0.325,1.0,-0.0
E. coli,iML1515,murA,lpxD,0.775,0.55,1.0,-0.0
E. coli,iML1515,murA,lpxD,0.775,0.775,1.0,-0.0
E. coli,iML1515,murA,lpxD,0.775,1.0,0.0,1.0
E. coli,iML1515,murA,lpxD,1.0,0.1,-0.0,1.0
E. coli,iML1515,murA,lpxD,1.0,0.325,0.0,1.0
E. coli,iML1515,murA,lpxD,1.0,0.55,0.0,1.0
E. coli,iML1515,murA,lpxD,1.0,0.775,0.0,1.0
E. coli,iML1515,murA,lpxD,1.0,1.0,0.0,1.0
E. coli,iML1515,murA,ftsW,0.1,0.1,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.1,0.325,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.1,0.55,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.1,0.775,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.1,1.0,0.0,1.0
E. coli,iML1515,murA,ftsW,0.325,0.1,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.325,0.325,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.325,0.55,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.325,0.775,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.325,1.0,0.0,1.0
E. coli,iML1515,murA,ftsW,0.55,0.1,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.55,0.325,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.55,0.55,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.55,0.775,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.55,1.0,0.0,1.0
E. coli,iML1515,murA,ftsW,0.775,0.1,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.775,0.325,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.775,0.55,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.775,0.775,1.0,-0.0
E. coli,iML1515,murA,ftsW,0.775,1.0,0.0,1.0
E. coli,iML1515,murA,ftsW,1.0,0.1,0.0,1.0
E. coli,iML1515,murA,ftsW,1.0,0.325,0.0,1.0
E. coli,iML1515,murA,ftsW,1.0,0.55,0.0,1.0
E. coli,iML1515,murA,ftsW,1.0,0.775,0.0,1.0
E. coli,iML1515,murA,ftsW,1.0,1.0,0.0,1.0
E. coli,iML1515,murA,fabI,0.1,0.1,1.0,-0.0
E. coli,iML1515,murA,fabI,0.1,0.325,1.0,-0.0
E. coli,iML1515,murA,fabI,0.1,0.55,1.0,-0.0
E. coli,iML1515,murA,fabI,0.1,0.775,1.0,-0.0
E. coli,iML1515,murA,fabI,0.1,1.0,0.0,1.0
E. coli,iML1515,murA,fabI,0.325,0.1,1.0,-0.0
E. coli,iML1515,murA,fabI,0.325,0.325,1.0,-0.0
E. coli,iML1515,murA,fabI,0.325,0.55,1.0,-0.0
E. coli,iML1515,murA,fabI,0.325,0.775,1.0,-0.0
E. coli,iML1515,murA,fabI,0.325,1.0,0.0,1.0
E. coli,iML1515,murA,fabI,0.55,0.1,1.0,-0.0
E. coli,iML1515,murA,fabI,0.55,0.325,1.0,-0.0
E. coli,iML1515,murA,fabI,0.55,0.55,1.0,-0.0
E. coli,iML1515,murA,fabI,0.55,0.775,1.0,-0.0
E. coli,iML1515,murA,fabI,0.55,1.0,0.0,1.0
E. coli,iML1515,murA,fabI,0.775,0.1,1.0,-0.0
E. coli,iML1515,murA,fabI,0.775,0.325,1.0,-0.0
E. coli,iML1515,murA,fabI,0.775,0.55,1.0,-0.0
E. coli,iML1515,murA,fabI,0.775,0.775,1.0,-0.0
E. coli,iML1515,murA,fabI,0.775,1.0,0.0,1.0
E. coli,iML1515,murA,fabI,1.0,0.1,0.0,1.0
E. coli,iML1515,murA,fabI,1.0,0.325,0.0,1.0
E. coli,iML1515,murA,fabI,1.0,0.55,0.0,1.0
E. coli,iML1515,murA,fabI,1.0,0.775,0.0,1.0
E. coli,iML1515,murA,fabI,1.0,1.0,0.0,1.0
E. coli,iML1515,murA,fabH,0.1,0.1,1.0,-0.0
E. coli,iML1515,murA,fabH,0.1,0.325,1.0,-0.0
E. coli,iML1515,murA,fabH,0.1,0.55,1.0,-0.0
E. coli,iML1515,murA,fabH,0.1,0.775,1.0,-0.0
E. coli,iML1515,murA,fabH,0.1,1.0,0.0,1.0
E. coli,iML1515,murA,fabH,0.325,0.1,1.0,-0.0
E. coli,iML1515,murA,fabH,0.325,0.325,1.0,-0.0
E. coli,iML1515,murA,fabH,0.325,0.55,1.0,-0.0
E. coli,iML1515,murA,fabH,0.325,0.775,1.0,-0.0
E. coli,iML1515,murA,fabH,0.325,1.0,0.0,1.0
E. coli,iML1515,murA,fabH,0.55,0.1,1.0,-0.0
E. coli,iML1515,murA,fabH,0.55,0.325,1.0,-0.0
E. coli,iML1515,murA,fabH,0.55,0.55,1.0,-0.0
E. coli,iML1515,murA,fabH,0.55,0.775,1.0,-0.0
E. coli,iML1515,murA,fabH,0.55,1.0,0.0,1.0
